hotelid,departuredate,returndate,countadults,countchildren,price,inbounddepartureairport,inboundarrivalairport,inboundairline,inboundarrivaldatetime,outbounddepartureairport,outboundarrivalairport,outboundairline,outboundarrivaldatetime,mealtype,oceanview,roomtype
90,2022-10-05T09:30:00+02:00,2022-10-12T08:35:00+02:00,1,1,1243,PMI,DUS,LH,2022-10-12T14:40:00+02:00,DUS,PMI,LH,2022-10-05T14:25:00+02:00,halfboard,FALSE,double
1096,2022-07-01T11:00:00+02:00,2022-07-08T07:30:00+02:00,2,0,1710,PMI,LEJ,EW,2022-07-08T10:00:00+02:00,LEJ,PMI,EW,2022-07-01T13:30:00+02:00,none,FALSE,apartment
656,2022-09-13T15:50:00+02:00,2022-09-21T07:50:00+02:00,2,0,2093,PMI,FRA,DE,2022-09-21T10:10:00+02:00,FRA,PMI,DE,2022-09-13T17:55:00+02:00,breakfast,FALSE,double
1880,2022-08-07T18:00:00+02:00,2022-08-12T08:20:00+02:00,2,0,1707,PMI,MUC,EWG,2022-08-12T10:35:00+02:00,MUC,PMI,EWG,2022-08-07T20:15:00+02:00,none,FALSE,double
1190,2022-09-20T17:35:00+02:00,2022-09-26T07:20:00+02:00,2,0,1866,PMI,SCN,EW,2022-09-26T09:30:00+02:00,SCN,PMI,EW,2022-09-20T19:40:00+02:00,breakfast,FALSE,juniorsuite
231,2023-06-07T06:25:00+02:00,2023-06-13T09:20:00+02:00,1,0,2131,PMI,STR,DE,2023-06-13T11:25:00+02:00,STR,PMI,DE,2023-06-07T08:30:00+02:00,breakfast,FALSE,single
757,2022-08-23T05:55:00+02:00,2022-08-30T07:50:00+02:00,2,0,1153,PMI,HAM,DE,2022-08-30T10:35:00+02:00,HAM,PMI,DE,2022-08-23T08:40:00+02:00,none,FALSE,apartment
86,2022-08-29T15:10:00+02:00,2022-09-02T18:10:00+02:00,3,0,1653,PMI,FDH,BUC,2022-09-02T20:20:00+02:00,FDH,PMI,BUC,2022-08-29T17:10:00+02:00,breakfast,FALSE,triple
223,2022-08-26T17:50:00+02:00,2022-08-30T10:00:00+02:00,2,0,980,PMI,STR,VY,2022-08-30T12:10:00+02:00,STR,PMI,EW,2022-08-26T19:50:00+02:00,breakfast,FALSE,double
187,2022-08-26T17:50:00+02:00,2022-08-30T10:00:00+02:00,2,0,1175,PMI,STR,VY,2022-08-30T12:10:00+02:00,STR,PMI,EW,2022-08-26T19:50:00+02:00,halfboard,FALSE,double
